	reads.in	reads.out
AP16-9-T1-C_S130_L001_R1_001.fastq.gz	143545	15052
AP20-45-T3-L_S566_L002_R1_001.fastq.gz	319568	37561
AP16-27-T0-L_S93_L001_R1_001.fastq.gz	70336	41777
AP20-36-T2-L_S182_L001_R1_001.fastq.gz	75922	45351
AP16-2-T0-C_S88_L001_R1_001.fastq.gz	274015	56992
AP20-11-T2-C_S177_L001_R1_001.fastq.gz	152446	64572
AP16-13-T2-C_S169_L001_R1_001.fastq.gz	121515	74565
AP16-26-T0-L_S92_L001_R1_001.fastq.gz	121251	79387
OF61-8-T1-C_S159_L001_R1_001.fastq.gz	172567	107685
OF61-31-T1-L_S162_L001_R1_001.fastq.gz	164793	124180
OF3-28-T0-L_S114_L001_R1_001.fastq.gz	274337	124793
OF3-32-T1-L_S153_L001_R1_001.fastq.gz	164109	128483
AP20-28-T0-L_S104_L001_R1_001.fastq.gz	181523	132673
OF3-33-T1-L_S154_L001_R1_001.fastq.gz	172203	134448
OF3-34-T1-L_S155_L001_R1_001.fastq.gz	182086	153290
OF61-10-T1-C_S161_L001_R1_001.fastq.gz	227367	165766
AP20-38-T2-L_S524_L002_R1_001.fastq.gz	528114	168518
OF3-10-T1-C_S151_L001_R1_001.fastq.gz	199701	169278
OF3-26-T0-L_S112_L001_R1_001.fastq.gz	200800	174662
OF61-26-T0-L_S122_L001_R1_001.fastq.gz	204497	175140
OF61-1-T0-C_S117_L001_R1_001.fastq.gz	226192	178193
AP20-33-T1-L_S144_L001_R1_001.fastq.gz	271236	183331
AP16-7-T1-C_S128_L001_R1_001.fastq.gz	263187	185444
OF3-35-T1-L_S156_L001_R1_001.fastq.gz	258296	185523
AP16-5-T0-C_S91_L001_R1_001.fastq.gz	277776	186654
OF61-7-T1-C_S158_L001_R1_001.fastq.gz	245609	188493
AP16-6-T1-C_S127_L001_R1_001.fastq.gz	223821	195756
OF3-47-T4-L_S613_L002_R1_001.fastq.gz	347886	196282
AP16-40-T2-L_S176_L001_R1_001.fastq.gz	240538	198979
AP20-8-T1-C_S139_L001_R1_001.fastq.gz	245288	200790
AP20-13-T2-C_S179_L001_R1_001.fastq.gz	260613	202052
AP16-15-T2-C_S171_L001_R1_001.fastq.gz	249216	203057
AP20-10-T1-C_S141_L001_R1_001.fastq.gz	248387	212392
OF61-9-T1-C_S160_L001_R1_001.fastq.gz	316210	218659
OF3-29-T0-L_S115_L001_R1_001.fastq.gz	317669	218662
OF61-35-T1-L_S166_L001_R1_001.fastq.gz	282140	219186
AP20-35-T1-L_S146_L001_R1_001.fastq.gz	252920	219857
AP16-36-T2-L_S172_L001_R1_001.fastq.gz	267507	220087
OF61-32-T1-L_S163_L001_R1_001.fastq.gz	277254	220554
OF61-4-T0-C_S120_L001_R1_001.fastq.gz	311337	221878
OF61-34-T1-L_S165_L001_R1_001.fastq.gz	260764	223054
AP20-2-T0-C_S98_L001_R1_001.fastq.gz	324486	223477
AP20-9-T1-C_S140_L001_R1_001.fastq.gz	293396	224007
OF61-33-T1-L_S164_L001_R1_001.fastq.gz	265332	224332
AP16-8-T1-C_S129_L001_R1_001.fastq.gz	266436	224866
AP16-10-T1-C_S131_L001_R1_001.fastq.gz	303579	225540
AP16-38-T2-L_S174_L001_R1_001.fastq.gz	275667	225684
AP16-39-T2-L_S175_L001_R1_001.fastq.gz	269267	228291
AP16-11-T2-C_S167_L001_R1_001.fastq.gz	268836	230802
AP16-29-T0-L_S95_L001_R1_001.fastq.gz	280154	233948
OF3-5-T0-C_S111_L001_R1_001.fastq.gz	319286	239064
AP16-12-T2-C_S168_L001_R1_001.fastq.gz	284157	239418
AP16-28-T0-L_S94_L001_R1_001.fastq.gz	297923	240007
OF3-7-T1-C_S148_L001_R1_001.fastq.gz	312537	240807
OF61-6-T1-C_S157_L001_R1_001.fastq.gz	310285	241769
AP16-14-T2-C_S170_L001_R1_001.fastq.gz	288678	246016
AP20-15-T2-C_S181_L001_R1_001.fastq.gz	301142	246801
OF3-3-T0-C_S109_L001_R1_001.fastq.gz	303484	252182
AP20-31-T1-L_S142_L001_R1_001.fastq.gz	304592	253114
OF61-27-T0-L_S123_L001_R1_001.fastq.gz	329940	253308
