"reads.in"	"reads.out"
"AP16-100-T0-K_S752_L002_R1_001.fastq"	615246	518810
"AP16-101-T1-K_S753_L002_R1_001.fastq"	644517	554051
"AP16-102-T1-K_S754_L002_R1_001.fastq"	752540	639567
"AP16-103-T1-K_S755_L002_R1_001.fastq"	612072	528604
"AP16-104-T1-K_S756_L002_R1_001.fastq"	572052	470028
"AP16-105-T1-K_S757_L002_R1_001.fastq"	601854	508139
"AP16-106-T2-K_S758_L002_R1_001.fastq"	495658	411091
"AP16-107-T2-K_S759_L002_R1_001.fastq"	503868	430021
"AP16-108-T2-K_S760_L002_R1_001.fastq"	541851	457756
"AP16-109-T2-K_S761_L002_R1_001.fastq"	591265	504341
"AP16-110-T2-K_S762_L002_R1_001.fastq"	503041	420813
"AP16-111-T3-K_S763_L002_R1_001.fastq"	637298	535661
"AP16-112-T3-K_S764_L002_R1_001.fastq"	211579	177291
"AP16-113-T3-K_S765_L002_R1_001.fastq"	713059	606712
"AP16-114-T3-K_S766_L002_R1_001.fastq"	545134	470444
"AP16-115-T3-K_S767_L002_R1_001.fastq"	597675	478853
"AP16-116-T4-K_S768_L002_R1_001.fastq"	568986	487052
"AP16-117-T4-K_S769_L002_R1_001.fastq"	480900	409322
"AP16-118-T4-K_S770_L002_R1_001.fastq"	666509	560800
"AP16-119-T4-K_S771_L002_R1_001.fastq"	520772	422482
"AP16-120-T4-K_S772_L002_R1_001.fastq"	571493	475774
"AP16-71-T0-C_S723_L002_R1_001.fastq"	655710	543077
"AP16-72-T0-C_S724_L002_R1_001.fastq"	640756	535977
"AP16-73-T0-C_S725_L002_R1_001.fastq"	637966	540857
"AP16-74-T0-C_S726_L002_R1_001.fastq"	643817	539107
"AP16-75-T0-C_S727_L002_R1_001.fastq"	582618	485304
"AP16-76-T1-C_S728_L002_R1_001.fastq"	722478	609333
"AP16-77-T1-C_S729_L002_R1_001.fastq"	662519	568207
"AP16-78-T1-C_S730_L002_R1_001.fastq"	467298	380510
"AP16-79-T1-C_S731_L002_R1_001.fastq"	708155	604379
"AP16-80-T1-C_S732_L002_R1_001.fastq"	695307	572297
"AP16-81-T2-C_S733_L002_R1_001.fastq"	703507	586675
"AP16-82-T2-C_S734_L002_R1_001.fastq"	638272	537000
"AP16-83-T2-C_S735_L002_R1_001.fastq"	626982	541261
"AP16-84-T2-C_S736_L002_R1_001.fastq"	586803	479335
"AP16-85-T2-C_S737_L002_R1_001.fastq"	705466	586899
"AP16-86-T3-C_S738_L002_R1_001.fastq"	574788	473609
"AP16-87-T3-C_S739_L002_R1_001.fastq"	735698	632286
"AP16-88-T3-C_S740_L002_R1_001.fastq"	596159	508248
"AP16-89-T3-C_S741_L002_R1_001.fastq"	716626	598420
"AP16-90-T3-C_S742_L002_R1_001.fastq"	478778	400598
