sample.id	replicate	project	Species_coral	Genotype	Timepoint	Group	Treatment	Trt_time	T0_merge	Description	species_time	species_time_wT0	trt	TR	TR2	project_trt_time	days_from_start
AP16-1-T0-C	1	Lugol	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP16-2-T0-C	2	Lugol	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP16-3-T0-C	3	Lugol	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP16-4-T0-C	4	Lugol	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP16-5-T0-C	5	Lugol	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP16-6-T1-C	6	Lugol	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP16-7-T1-C	7	Lugol	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP16-8-T1-C	8	Lugol	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP16-9-T1-C	9	Lugol	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP16-10-T1-C	10	Lugol	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP16-11-T2-C	11	Lugol	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP16-12-T2-C	12	Lugol	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP16-13-T2-C	13	Lugol	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP16-14-T2-C	14	Lugol	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP16-15-T2-C	15	Lugol	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP16-16-T3-C	16	Lugol	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP16-17-T3-C	17	Lugol	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP16-18-T3-C	18	Lugol	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP16-19-T3-C	19	Lugol	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
