init	chloros_removed	mitos_removed	pruned			
AP16-1-T0-C	140073	63495	63495	63304		
AP16-10-T1-C	121608	1664	1664	1632		
AP16-11-T2-C	115611	14369	14369	13986		
AP16-12-T2-C	114584	18039	18039	17845		
AP16-13-T2-C	39472	2650	2650	2461		
AP16-14-T2-C	135661	2812	2812	2600		
AP16-15-T2-C	107492	9057	9040	8564		
AP16-16-T3-C	238832	109687	109670	108966		
AP16-17-T3-C	181613	26963	26936	26697		
AP16-18-T3-C	207811	53299	53085	52880		
AP16-19-T3-C	107053	42557	42535	42361		
AP16-2-T0-C	31271	1134	1134	1134		
AP16-20-T3-C	219797	14960	14953	14926		
AP16-21-T4-C	242394	49239	49239	48913		
AP16-22-T4-C	398831	23206	23203	23031		
AP16-23-T4-C	145518	14213	14203	13797		
AP16-24-T4-C	306384	19875	19840	19490		
AP16-25-T4-C	191457	74580	74496	73440		
AP16-26-T0-L	43804	4670	4670	4445		
AP16-27-T0-L	19088	6151	6151	5958		
AP16-28-T0-L	122994	7305	7305	7249		
AP16-29-T0-L	111702	5723	5723	5677		
AP16-3-T0-C	162138	9251	9251	8662		
AP16-30-T0-L	140527	12487	12487	12214		
AP16-31-T1-L	137536	12240	12240	12155		
AP16-32-T1-L	139486	9877	9858	9808		
AP16-33-T1-L	153997	37713	37713	37431		
AP16-34-T1-L	137726	8504	8504	8237		
AP16-35-T1-L	123240	25593	25551	25165		
AP16-36-T2-L	119413	8749	8749	8366		
AP16-37-T2-L	124810	50265	50260	50132		
AP16-38-T2-L	105765	13453	13453	13156		
AP16-39-T2-L	117849	5312	5309	5122		
AP16-4-T0-C	161246	92080	92075	92015		
AP16-40-T2-L	96169	3503	3503	3345		
AP16-41-T3-L	301708	32028	32028	31993		
AP16-42-T3-L	184065	16618	16614	16400		
AP16-43-T3-L	137566	26797	26797	26630		
AP16-44-T3-L	303017	42082	41945	41860		
AP16-45-T3-L	170329	59248	59164	58746		
AP16-46-T4-L	250521	23185	23135	23100		
AP16-47-T4-L	275509	57020	56933	56415		
AP16-48-T4-L	256015	54118	53963	53143		
AP16-49-T4-L	257366	10231	10231	9899		
AP16-5-T0-C	85559	13035	12935	12876		
AP16-50-T4-L	128742	15414	15414	15165		
AP16-6-T1-C	64929	43648	43633	43210		
AP16-7-T1-C	89844	6893	6860	6724		
AP16-8-T1-C	77213	31242	31242	31192		
AP16-9-T1-C	6687	4166	4166	4154		
AP20-1-T0-C	146225	2204	2204	2179		
AP20-10-T1-C	110653	4023	4023	3902		
AP20-11-T2-C	36850	715	715	652		
AP20-12-T2-C	150119	3486	3476	3373		
AP20-13-T2-C	112460	2747	2747	2506		
AP20-14-T2-C	141617	3148	3148	2952		
AP20-15-T2-C	121076	4708	4708	4563		
AP20-16-T3-C	312054	13899	13899	13789		
AP20-17-T3-C	172162	11985	11985	11513		
AP20-18-T3-C	241114	19619	19619	19442		
AP20-19-T3-C	360116	14725	14660	14537		
AP20-2-T0-C	110646	4098	4098	4006		
AP20-20-T3-C	240997	54345	54323	53939		
AP20-21-T4-C	339287	6077	6077	5972		
AP20-22-T4-C	184306	6636	6636	6264		
AP20-23-T4-C	296114	54728	54494	53926		
AP20-24-T4-C	341864	33126	33126	32850		
AP20-25-T4-C	182469	66966	66951	65948		
AP20-26-T0-L	145984	2758	2758	2705		
AP20-27-T0-L	143638	9264	9264	9118		
AP20-28-T0-L	71764	4558	4558	4544		
AP20-29-T0-L	131855	4441	4441	4409		
